,path,ID,ind
0,casis/Dataset/cumulative_align_barefoot/0_0.jpg,4.0,0
1,casis/Dataset/cumulative_align_barefoot/0_10.jpg,4.0,10
2,casis/Dataset/cumulative_align_barefoot/0_100.jpg,6.0,100
3,casis/Dataset/cumulative_align_barefoot/0_1001.jpg,36.0,1001
4,casis/Dataset/cumulative_align_barefoot/0_1002.jpg,36.0,1002
5,casis/Dataset/cumulative_align_barefoot/0_1004.jpg,36.0,1004
6,casis/Dataset/cumulative_align_barefoot/0_1005.jpg,37.0,1005
7,casis/Dataset/cumulative_align_barefoot/0_1007.jpg,37.0,1007
8,casis/Dataset/cumulative_align_barefoot/0_1008.jpg,37.0,1008
9,casis/Dataset/cumulative_align_barefoot/0_1010.jpg,37.0,1010
10,casis/Dataset/cumulative_align_barefoot/0_1011.jpg,37.0,1011
11,casis/Dataset/cumulative_align_barefoot/0_1013.jpg,37.0,1013
12,casis/Dataset/cumulative_align_barefoot/0_1014.jpg,37.0,1014
13,casis/Dataset/cumulative_align_barefoot/0_1016.jpg,37.0,1016
14,casis/Dataset/cumulative_align_barefoot/0_1017.jpg,37.0,1017
15,casis/Dataset/cumulative_align_barefoot/0_1019.jpg,37.0,1019
16,casis/Dataset/cumulative_align_barefoot/0_1020.jpg,37.0,1020
17,casis/Dataset/cumulative_align_barefoot/0_1022.jpg,37.0,1022
18,casis/Dataset/cumulative_align_barefoot/0_1023.jpg,37.0,1023
19,casis/Dataset/cumulative_align_barefoot/0_1025.jpg,37.0,1025
20,casis/Dataset/cumulative_align_barefoot/0_1026.jpg,37.0,1026
21,casis/Dataset/cumulative_align_barefoot/0_1028.jpg,37.0,1028
22,casis/Dataset/cumulative_align_barefoot/0_1029.jpg,37.0,1029
23,casis/Dataset/cumulative_align_barefoot/0_103.jpg,6.0,103
24,casis/Dataset/cumulative_align_barefoot/0_1031.jpg,37.0,1031
25,casis/Dataset/cumulative_align_barefoot/0_1032.jpg,37.0,1032
26,casis/Dataset/cumulative_align_barefoot/0_1034.jpg,37.0,1034
27,casis/Dataset/cumulative_align_barefoot/0_1035.jpg,38.0,1035
28,casis/Dataset/cumulative_align_barefoot/0_1037.jpg,38.0,1037
29,casis/Dataset/cumulative_align_barefoot/0_1038.jpg,38.0,1038
30,casis/Dataset/cumulative_align_barefoot/0_1040.jpg,38.0,1040
31,casis/Dataset/cumulative_align_barefoot/0_1041.jpg,38.0,1041
32,casis/Dataset/cumulative_align_barefoot/0_1043.jpg,38.0,1043
33,casis/Dataset/cumulative_align_barefoot/0_1044.jpg,38.0,1044
34,casis/Dataset/cumulative_align_barefoot/0_1046.jpg,38.0,1046
35,casis/Dataset/cumulative_align_barefoot/0_1047.jpg,38.0,1047
